OBJECTID,Id,PWS_Name,Pop_Served,Connection,PWSID,PWS_Type,Source,Owner,Size,OUA,File_No,APN,Level_,Vul_Code,Status,ShapeSTArea,ShapeSTLength
180,4,Paso Robles RV Ranch,105,1,CA4000790,TNCWS,GW,Private,Very_Small, , ,026-111-001,vulnerable,,Active,308390.20703125,2201.56901777451
181,4,Spanish Lakes Mututal Water Company,150,50,CA4000789,CWS,GW,Private,Very_Small, , , ,vulnerable,,Active,11379335.5361328,15797.0006760076
182,4,Mustang Springs Mutual Water Company,30,15,CA4000775,CWS,GW,Private,Very_Small, , , ,pending,,Active,951710.2578125,4379.54470626187
183,4,Country Hills Estates,60,28,CA4000637,CWS,GW,Private,Very_Small, , , ,critical,,Active,5244737.33691406,17922.5773069028
184,4,Green River Mutual Water Company,300,100,CA4000554,CWS,GW,Private,Very_Small, , , ,watch,,Active,20244330.3574219,21456.3825488429
185,1,Grover Beach Water Department,13248,5123,CA4010004,CWS,SW,Local_Govt,Large, , , ,vulnerable,,Active,64395415.9326172,40095.4265859415
186,4,Sweet Springs Mobile Home Park,30,16,CA4000658,NP,GW,Private,Very Small, , ,047-200-019,watch,,Active,1642735.51269531,5923.14494145353
187,4,Chevron - Tank Farm,35,1,CA4000807,NTNC,GW,Private,Very Small, , , ,pending,,Active,14688560,18243.4441822465
188,4,Congregation Beth David,25,1,CA4000809,NTNC,GW,Private,Very Small, , ,067-091-011,watch,,Active,4007226.46289062,8348.34147070131
189,4,East Airport Fiero Lane Water Company,200,60,CA4000817,NTNCWS,GW,Private,Very Small, , , ,vulnerable,,Active,4960079.35449219,16910.7386958236
190,1,Cayucos Beach Mutual Water Company,11302,780,CA4010006,CWS,SW,Private,Large, , , ,watch,,Active,5958771.28710938,18562.2671424305
191,1,Morro Rock Mutual Water Company,10200,628,CA4010015,CWS,SW,Private,Large, , , ,vulnerable,,Active,4664200.54003906,13122.4598189672
192,4,Blue Sky Water Association,39,13,CA4000639,NTNCWS,GW,Private,Very Small, , ,047-242-003,pending,,Active,2910310.92578125,7735.113226887
193,4,MAXWELLTON MUTUAL WATER,27,9,CA4000629,NTNCWS,GW,Private,Very Small, , ,044-131-015,pending,,Active,394329.288085938,2930.9175446842
194,4,NEWSOM SPRINGS MUTUAL WATER COMPANY,27,11,CA4000772,NTNCWS,GW,Private,Very Small, , ,047-101-009,pending,,Active,6484965.82519531,12370.3329056402
195,4,SAN LUIS WATER & POWER,36,12,CA4000635,NTNCWS,GW,Private,Very Small, , ,044-491-015,vulnerable,,Active,3381828.25292969,8583.80189644088
196,4,VACHELL WATER SYSTEM,150,1,CA4000806,NTNCWS,GW,Private,Very Small, , ,053-259-003,vulnerable,,Active,392432.041992188,2507.42760750964
197,4,WALLACE WATER SYSTEMS,35,1,CA4000814,NTNCWS,GW,Private,Very Small, , ,053-258-023,pending,,Active,167028.672851562,2346.11950997802
198,4,SAN LUIS SOURDOUGH - INACTIVE,60,1,CA4000773,NTNCWS,GW,Private,Very Small, , ,053-251-048,pending,,Active,151731.909179688,1646.2903489699
199,4,MESA MUTUAL WATER COMPANY,39,12,CA4000608,NTCWS,GW,Private,Very Small, , ,091-284-023,pending,,Active,10082.27734375,419.463779149265
200,4,MONTE SERENO MUTUAL BENEFIT WATER,60,31,CA4000808,CWS,GW,Private,Very Small, , ,047-081-056,pending,,Active,5663210.17675781,11560.3563055043
201,4,Corralitos Mutual Water Company,10,3, ,NTNCWS,GW,Private,Very Small, , ,047-191-024,pending,,Active,621085.197265625,3383.41456985111
202,4,NIPOMO MESA MUTUAL WATER COMPANY INACTIVE,3,1,CA4000609,NTNCWS,GW,Private,Very Small, , ,091-173-016,pending,,Active,1641343.23535156,5192.13913366832
203,,Adelaide Estates,15,5,CA4000740,SS,GW,Private,Vert_Small,,,,vulnerable,,Active,2024988.77636719,6960.87136006545
204,,Buttonwood Industrial Park- Inactive,20,2,,NTNCWS,GW,Private,Very Small,,,,pending,,Active,657127.231445312,3333.20042038135
603,,Callender Water Association,18,7,,SS,GW,Private,Very Small,,,,critical,,Active,121807.403320312,1437.38962546236
604,,Circle II,22,10,,SS,GW,Private,Very Small,,,,pending,,Active,1137954.4140625,5407.05120417205
605,,Daou Vineyards,25,1,,TNCWS,GW,Private,Very Small,,,,pending,,Active,4595173.09277344,10913.4975000949
606,,Edna Valley Vineyard,25,1,,NTNCWS,GW,Private,Very Small,,,,vulnerable,,Active,2726601.47558594,7096.32867725047
607,,Huerhuero Ranch,25,42,CA4000827,CWS,GW,Private,Very Small,,,,vulnerable,,Pending,33616160.2832031,24086.526008588
608,,The Inn at Opolo Kitchen,25,1,,TNCWS,GW,Private,Very Small,,,,watch,,Active,4134550.30566406,10876.6897749536
609,,Irish Hills,10,26,,CWS,GW,Private,Very Small,,,,watch,,Active,10060299.546875,14231.4321996837
610,,Jespersen Ranch,20,1,,SS,GW,Private,Very Small,,,,pending,,Active,5345096.97753906,10669.4497315781
611,,Kanawyer_Raymond Oak Glen,6,5,,SS,GW,Private,Very Small,,,,watch,,Active,421746.552734375,2650.7888679613
612,,Kukkula Inc.,50,1,,TNCWS,GW,Private,Very Small,,,,watch,,Active,3556029.14941406,7772.22358320367
614,,Edna Ranch West,25,12,,SS,GW,Private,Very Small,,,,pending,,Active,1575664.44042969,5431.56665048728
615,,Last Stage West,25,1,,TNCWS,GW,Private,Very Small,,,,pending,,Active,60771.41796875,1007.90118478068
616,,Mutual Water Co.,10,5,,SS,GW,Private,Very Small,,,,pending,,Active,1653393.87402344,5143.43321417248
617,,Niner Wine Estates,25,4,,TNCWS,GW,Private,Very Small,,,,vulnerable,,Active,8025995.65917969,11763.6751759199
618,,North River Road,10,5,,SS,GW,Private,Very Small,,,,watch,,Active,2258133.1875,8629.64609962
619,,Poly Ranch,18,7,,SS,GW,Private,Very Small,,,,critical,,Active,211340.819335938,2510.61093615054
620,,Quiet Oaks,10,5,,SS,GW,Private,Very Small,,,,watch,,Active,1646943.62597656,6048.94807945923
621,,Rancho Caballo,25,13,,SS,GW,Private,Very Small,,,,pending,,Active,3915806.375,13663.3646722152
622,,Rancho Oaks,19,10,,SS,GW,Private,Very Small,,,,watch,,Active,201830.15234375,2886.76841195354
623,,Rhodes Rancho,20,7,,SS,GW,Private,Very Small,,,,pending,,Active,156208.16796875,1742.85382260383
624,,SATCOM,100,1,,NTNCWS,GW,Private,Very Small,,,,critical,,Active,1174534.37304688,4645.15715153344
625,,La Colonia,30,60,,SS,GW,Private,Very Small,,,,pending,,Active,44277.259765625,1079.21209077256
626,,True Water Supply,24,7,,SS,GW,Private,Very Small,,,,watch,,Active,828004.752929688,3880.44562223888
627,,La Mesa Water Co.,20,10,,SS,GW,Private,Very Small,,,,watch,,Active,461087.24609375,3198.44073950599
1003,,Heritage Lane Water Assocation,20,10,,SS,GW,Private,Very Small,,,,watch,,Active,628357.147460938,3678.14756643992
1806,4,Mutual Water Association,30,7,CA4000623,NTNCWS,GW,Private,Very Small,,,,pending,1,Active,2301879.42675781,7637.70120097978
